,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_kernel,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
71,1,90,0.00039992332458496096,0.0004898040929593269,0.000599527359008789,0.0004895120620278284,1,,,1,"{'C': 1, 'gamma': 1}",1.0,0.9444444444444444,1.0,1.0,1.0,0.9888888888888889,0.022222222222222233,11,0.9722222222222222,1.0,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.986111111111111,0.008784104611578835
63,1,90,0.00039987564086914064,0.0004897457332026785,0.0005994796752929688,0.0004894731361808656,10,5,linear,,"{'C': 10, 'degree': 5, 'kernel': 'linear'}",1.0,0.9444444444444444,1.0,1.0,0.9444444444444444,0.9777777777777779,0.027216552697590882,12,0.9583333333333334,1.0,0.9722222222222222,0.9861111111111112,1.0,0.9833333333333334,0.016197088596792492
62,1,90,0.000599527359008789,0.0004895120620278284,0.0003998279571533203,0.0004896873850638213,10,4,linear,,"{'C': 10, 'degree': 4, 'kernel': 'linear'}",1.0,0.9444444444444444,1.0,1.0,0.9444444444444444,0.9777777777777779,0.027216552697590882,12,0.9583333333333334,1.0,0.9722222222222222,0.9861111111111112,1.0,0.9833333333333334,0.016197088596792492
70,1,90,0.0005997657775878906,0.0004897067609269814,0.0005993366241455079,0.0004893563354154576,10,3,linear,,"{'C': 10, 'degree': 3, 'kernel': 'linear'}",1.0,0.9444444444444444,1.0,1.0,0.9444444444444444,0.9777777777777779,0.027216552697590882,12,0.9583333333333334,1.0,0.9722222222222222,0.9861111111111112,1.0,0.9833333333333334,0.016197088596792492
65,1,90,0.0009994029998779297,3.1629798797182086e-07,0.0,0.0,100,4,linear,,"{'C': 100, 'degree': 4, 'kernel': 'linear'}",1.0,0.9444444444444444,1.0,1.0,0.8888888888888888,0.9666666666666668,0.04444444444444447,15,0.9861111111111112,1.0,0.9583333333333334,0.9861111111111112,1.0,0.986111111111111,0.0152145154862546
64,1,90,0.0005998611450195312,0.0004897846048886376,0.0003998279571533203,0.0004896872921989839,100,3,linear,,"{'C': 100, 'degree': 3, 'kernel': 'linear'}",1.0,0.9444444444444444,1.0,1.0,0.8888888888888888,0.9666666666666668,0.04444444444444447,15,0.9861111111111112,1.0,0.9583333333333334,0.9861111111111112,1.0,0.986111111111111,0.0152145154862546
66,1,90,0.0009994983673095703,0.000632108121027845,0.00019989013671875,0.0003997802734375,100,5,linear,,"{'C': 100, 'degree': 5, 'kernel': 'linear'}",1.0,0.9444444444444444,1.0,1.0,0.8888888888888888,0.9666666666666668,0.04444444444444447,15,0.9861111111111112,1.0,0.9583333333333334,0.9861111111111112,1.0,0.986111111111111,0.0152145154862546
48,0,30,0.00039973258972167967,0.0004895704449951435,0.00019989013671875,0.0003997802734375,1000,4,sigmoid,0.001,"{'C': 1000, 'degree': 4, 'gamma': 0.001, 'kernel': 'sigmoid'}",1.0,1.0,1.0,0.8333333333333334,1.0,0.9666666666666668,0.06666666666666665,15,1.0,0.9583333333333334,0.9166666666666666,0.9583333333333334,1.0,0.9666666666666668,0.031180478223116186
47,0,30,0.0007993698120117188,0.0003996850197823066,0.00019989013671875,0.0003997802734375,1000,4,sigmoid,0.001,"{'C': 1000, 'degree': 4, 'gamma': 0.001, 'kernel': 'sigmoid'}",1.0,1.0,1.0,0.8333333333333334,1.0,0.9666666666666668,0.06666666666666665,15,1.0,0.9583333333333334,0.9166666666666666,0.9583333333333334,1.0,0.9666666666666668,0.031180478223116186
44,0,30,0.0005994796752929688,0.0004894733452181438,0.0001998424530029297,0.0003996849060058594,1000,3,sigmoid,0.001,"{'C': 1000, 'degree': 3, 'gamma': 0.001, 'kernel': 'sigmoid'}",1.0,1.0,1.0,0.8333333333333334,1.0,0.9666666666666668,0.06666666666666665,15,1.0,0.9583333333333334,0.9166666666666666,0.9583333333333334,1.0,0.9666666666666668,0.031180478223116186
43,0,30,0.00059967041015625,0.0004896288395761052,0.0001998424530029297,0.0003996849060058594,1000,3,sigmoid,0.001,"{'C': 1000, 'degree': 3, 'gamma': 0.001, 'kernel': 'sigmoid'}",1.0,1.0,1.0,0.8333333333333334,1.0,0.9666666666666668,0.06666666666666665,15,1.0,0.9583333333333334,0.9166666666666666,0.9583333333333334,1.0,0.9666666666666668,0.031180478223116186
0,0,30,0.0009996414184570313,4.6231077741778654e-07,0.00019993782043457032,0.0003998756408691407,1,3,linear,,"{'C': 1, 'degree': 3, 'kernel': 'linear'}",1.0,1.0,1.0,0.8333333333333334,1.0,0.9666666666666668,0.06666666666666665,15,1.0,0.9583333333333334,0.9166666666666666,0.9583333333333334,1.0,0.9666666666666668,0.031180478223116186
1,0,30,0.0005994796752929688,0.0004894731594072343,0.0003997802734375,0.0004896288627950879,1,4,linear,,"{'C': 1, 'degree': 4, 'kernel': 'linear'}",1.0,1.0,1.0,0.8333333333333334,1.0,0.9666666666666668,0.06666666666666665,15,1.0,0.9583333333333334,0.9166666666666666,0.9583333333333334,1.0,0.9666666666666668,0.031180478223116186
2,0,30,0.00059967041015625,0.0004896288395761052,0.0005996227264404297,0.0004895899601671047,1,5,linear,,"{'C': 1, 'degree': 5, 'kernel': 'linear'}",1.0,1.0,1.0,0.8333333333333334,1.0,0.9666666666666668,0.06666666666666665,15,1.0,0.9583333333333334,0.9166666666666666,0.9583333333333334,1.0,0.9666666666666668,0.031180478223116186
58,1,90,0.000599813461303711,0.0004897456403489048,0.00019989013671875,0.0003997802734375,1,5,linear,,"{'C': 1, 'degree': 5, 'kernel': 'linear'}",1.0,0.8888888888888888,1.0,1.0,0.9444444444444444,0.9666666666666666,0.04444444444444447,25,0.9583333333333334,1.0,0.9722222222222222,0.9861111111111112,0.9861111111111112,0.9805555555555557,0.01416394309331329
